h w p k r par_time seq_time
8192 8192 16 16 32 0.142064 0.428809
8192 8192 16 8 64 0.133357 0.428921
8192 8192 16 4 128 0.134704 0.415845
8192 8192 16 2 256 0.134684 0.419446
8192 8192 16 1 512 0.132671 0.415633
8192 8192 16 4 128 0.132727 0.428515
8192 8192 16 128 2 0.199399 0.429321
8192 8192 16 128 4 0.175141 0.416109
8192 8192 16 64 8 0.155765 0.416662
8192 8192 16 32 16 0.145357 0.416251
8192 8192 16 16 32 0.137934 0.418050
8192 8192 16 8 64 0.131706 0.415519
8192 8192 16 4 128 0.132611 0.418586
8192 8192 16 2 256 0.135719 0.418583
8192 8192 16 1 512 0.134338 0.416099
8192 8192 16 4 128 0.131948 0.415218
8192 8192 16 128 2 0.195599 0.415489
8192 8192 16 128 4 0.178221 0.429163
8192 8192 16 64 8 0.156701 0.428764
8192 8192 16 32 16 0.143696 0.415951
8192 8192 16 16 32 0.141196 0.424145
8192 8192 16 8 64 0.131050 0.418535
8192 8192 16 4 128 0.134420 0.418374
8192 8192 16 2 256 0.136532 0.428916
8192 8192 16 1 512 0.130485 0.415923
8192 8192 16 4 128 0.132867 0.415869
8192 8192 16 128 2 0.198720 0.417366
8192 8192 16 128 4 0.173111 0.416357
8192 8192 16 64 8 0.157568 0.428820
8192 8192 16 32 16 0.146506 0.415772
8192 8192 16 16 32 0.138442 0.415382
8192 8192 16 8 64 0.133101 0.429207
8192 8192 16 4 128 0.135263 0.416719
8192 8192 16 2 256 0.134329 0.419276
8192 8192 16 1 512 0.132216 0.416180
8192 8192 16 4 128 0.133103 0.416434
8192 8192 16 128 2 0.196462 0.417423
8192 8192 16 128 4 0.174294 0.417793
8192 8192 16 64 8 0.155294 0.419779
8192 8192 16 32 16 0.145835 0.428827
8192 8192 16 16 32 0.141275 0.429012
8192 8192 16 8 64 0.130705 0.428681
8192 8192 16 4 128 0.134569 0.418681
8192 8192 16 2 256 0.133043 0.418474
8192 8192 16 1 512 0.140472 0.419807
8192 8192 16 4 128 0.132848 0.415966
8192 8192 16 128 2 0.196262 0.428621
8192 8192 16 128 4 0.177164 0.420410
8192 8192 16 64 8 0.156337 0.415801
8192 8192 16 32 16 0.146102 0.420831
8192 8192 16 16 32 0.139065 0.415446
8192 8192 16 8 64 0.131619 0.415572
8192 8192 16 4 128 0.130792 0.419433
8192 8192 16 2 256 0.137630 0.429510
8192 8192 16 1 512 0.137768 0.416244
8192 8192 16 4 128 0.134292 0.428739
8192 8192 16 128 2 0.192518 0.413693
8192 8192 16 128 4 0.174290 0.417179
8192 8192 16 64 8 0.154026 0.418674
8192 8192 16 32 16 0.143145 0.416081
8192 8192 16 16 32 0.139808 0.416315
8192 8192 16 8 64 0.130096 0.415729
8192 8192 16 4 128 0.134111 0.429298
8192 8192 16 2 256 0.136224 0.428586
8192 8192 16 1 512 0.133695 0.416690
8192 8192 16 4 128 0.133240 0.416986
8192 8192 16 128 2 0.195530 0.416605
8192 8192 16 128 4 0.175025 0.417087
8192 8192 16 64 8 0.156474 0.416754
8192 8192 16 32 16 0.145852 0.420003
8192 8192 16 16 32 0.139406 0.429587
8192 8192 16 8 64 0.132360 0.417959
8192 8192 16 4 128 0.132115 0.417901
8192 8192 16 2 256 0.134376 0.417666
8192 8192 16 1 512 0.133323 0.417982
8192 8192 16 4 128 0.131041 0.416423
8192 8192 16 128 2 0.193511 0.416033
8192 8192 16 128 4 0.175339 0.428980
8192 8192 16 64 8 0.156779 0.428911
8192 8192 16 32 16 0.143235 0.415274
8192 8192 16 16 32 0.138986 0.415444
8192 8192 16 8 64 0.132589 0.415552
8192 8192 16 4 128 0.133074 0.415543
8192 8192 16 2 256 0.133773 0.418064
8192 8192 16 1 512 0.140779 0.428748
8192 8192 16 4 128 0.133414 0.416196
8192 8192 16 128 2 0.198545 0.415883
8192 8192 16 128 4 0.176363 0.416146
